1 2 3
1 3 2
1 4 1
1 5 2
2 6 3
3 7 3
4 8 1
4 9 2
5 10 2
5 11 2
6 12 1
6 13 2
6 14 2
6 15 3
7 16 3
7 17 3
8 18 2
8 19 2
8 20 1
9 21 1
9 22 1
10 23 3
10 24 2
10 25 3
11 26 1
11 27 2
11 28 1
12 29 1
13 30 2
14 31 2
15 32 3
16 33 2
17 34 2
18 34 1
19 34 2
20 35 1
21 36 2
22 37 2
23 38 1
24 39 3
25 39 1
26 40 2
27 40 2
28 40 2
29 41 3
30 42 1
31 43 1
32 44 2
32 45 1
33 46 2
34 47 3
35 48 1
36 49 1
37 50 2
38 51 3
39 52 2
40 53 3
41 54 1
42 55 1
42 56 2
43 57 1
44 58 2
45 59 1
46 60 1
46 61 3
47 62 2
48 63 3
49 64 1
50 65 2
51 66 2
52 67 1
53 68 2
54 69 2
54 70 1
55 71 3
55 72 3
55 73 2
55 74 1
56 75 2
57 76 1
57 77 1
58 78 3
58 79 1
58 80 3
59 81 1
59 82 2
60 83 1
60 84 1
60 85 2
61 86 2
61 87 1
62 88 2
63 89 3
63 90 1
63 91 2
64 92 3
64 93 3
65 94 3
65 95 3
65 96 1
65 97 1
65 98 3
66 99 1
66 100 1
66 101 2
66 102 3
67 103 1
67 104 2
67 105 3
67 106 1
68 107 3
69 108 2
70 109 2
71 109 3
72 110 2
73 111 3
74 111 2
75 111 3
76 112 2
77 112 2
78 112 1
79 112 3
80 113 3
81 113 3
82 114 2
83 114 2
84 115 3
85 116 2
86 116 1
87 116 2
88 117 3
89 118 1
90 118 2
91 118 3
92 118 1
93 119 3
94 119 1
95 119 1
96 119 2
97 120 2
98 120 3
99 120 1
100 120 2
101 121 3
102 121 1
103 122 1
104 123 1
105 123 2
106 123 3
107 124 2
108 125 1
109 126 3
110 127 1
111 128 3
112 129 2
113 130 3
114 131 2
115 132 1
116 133 2
117 134 2
118 135 1
119 136 3
120 137 3
121 138 1
122 139 1
123 140 1
124 140 2
125 141 1
126 142 2
127 143 3
128 144 3
129 145 2
130 146 3
131 147 2
132 147 2
133 148 2
134 149 1
135 150 2
136 151 3
137 151 3
138 152 3
139 153 3
140 153 2
141 154 1
142 155 1
143 156 1
144 157 2
145 158 1
146 159 1
147 160 2
148 161 3
149 162 3
150 163 1
151 164 3
152 165 3
153 166 2
154 167 2
155 168 2
156 169 2
157 170 1
157 171 2
158 172 2
159 173 1
160 174 3
161 175 2
161 176 3
162 177 2
163 178 3
164 179 2
165 180 2
166 181 1
166 182 2
166 183 3
167 184 2
168 185 3
169 186 3
170 187 2
171 188 1
172 188 1
173 189 3
174 190 2
175 191 3
176 192 3
177 193 1
178 194 2
179 195 1
180 196 1
181 197 2
182 198 3
183 199 2
184 200 2
185 200 2
186 200 3
187 200 3
188 200 2
189 200 2
190 200 2
191 200 2
192 200 1
193 200 2
194 200 3
195 200 2
196 200 3
197 200 1
198 200 2
199 200 3
