1 2 3
1 3 13
1 4 12
1 5 13
2 6 13
2 7 13
2 8 10
3 9 10
3 10 9
3 11 3
4 12 7
4 13 11
4 14 3
4 15 1
5 16 7
5 17 3
5 18 12
5 19 7
6 20 8
6 21 13
6 22 3
7 23 12
8 24 11
8 25 13
9 26 6
10 27 5
11 28 4
11 29 8
12 30 9
13 31 8
14 32 2
15 33 10
15 34 4
16 35 7
16 36 7
16 37 2
16 38 6
17 39 12
18 40 4
19 41 1
20 42 12
21 43 4
22 44 7
23 44 7
24 45 3
25 45 2
26 45 8
27 46 12
28 47 6
29 48 3
30 49 13
31 50 11
32 51 1
33 52 13
34 53 11
35 53 9
36 54 6
37 54 12
38 55 8
39 56 7
40 57 9
41 58 2
42 59 4
43 60 8
44 61 8
44 62 4
45 63 10
46 64 13
46 65 6
46 66 8
46 67 13
47 68 1
47 69 4
48 70 2
48 71 10
49 72 8
49 73 2
50 74 3
51 75 6
52 76 2
52 77 8
53 78 5
53 79 5
54 80 9
55 81 1
56 82 3
56 83 3
57 84 1
58 85 1
59 86 12
60 87 5
61 88 2
62 89 13
63 90 12
64 90 2
65 91 1
66 92 9
67 93 3
68 94 13
69 94 7
70 95 12
71 96 13
72 97 5
73 98 7
74 99 8
75 100 6
76 101 3
77 102 8
78 102 13
79 103 6
80 103 13
81 104 11
82 105 5
83 106 1
84 106 12
85 107 12
86 108 10
87 109 9
88 110 8
89 111 8
90 111 9
91 112 10
92 112 2
93 113 8
94 114 4
95 114 1
96 115 8
97 115 10
98 116 5
99 117 12
100 117 13
101 118 10
102 118 1
103 118 11
104 119 10
105 120 1
106 121 3
107 122 10
108 123 10
109 124 9
110 125 5
111 126 6
112 127 6
113 128 3
114 129 12
115 130 5
116 131 6
117 132 5
118 133 4
119 134 13
120 135 4
121 136 13
122 137 13
123 138 11
124 139 3
124 140 1
124 141 2
125 142 11
126 143 13
126 144 5
127 145 10
127 146 2
128 147 8
128 148 4
129 149 8
129 150 10
130 151 2
130 152 5
131 153 5
131 154 3
132 155 12
133 156 4
133 157 4
134 158 1
135 159 11
136 160 8
137 161 10
138 162 9
139 163 1
140 164 5
141 165 8
142 166 4
143 166 8
144 167 13
145 167 3
146 167 3
147 168 13
148 169 13
149 170 6
150 171 5
151 172 4
152 173 1
153 174 8
154 175 5
155 176 10
156 176 9
157 177 12
158 178 11
159 178 2
160 179 8
161 180 8
162 181 11
163 182 12
164 183 13
165 184 6
166 185 1
166 186 10
167 187 9
168 188 8
168 189 3
169 190 3
170 191 2
171 192 2
172 193 3
173 194 8
173 195 1
174 196 6
175 197 9
176 198 9
177 199 8
178 200 8
179 201 8
180 202 1
181 203 9
182 203 4
183 204 2
184 205 7
185 206 2
186 207 13
187 208 10
188 209 5
189 210 11
190 211 13
191 212 12
192 213 12
193 214 5
194 215 12
195 216 5
196 217 11
197 218 4
198 219 9
199 220 1
200 221 10
201 222 13
202 223 2
203 224 10
204 225 13
205 226 7
206 227 12
207 228 8
208 229 7
209 230 5
210 231 11
211 232 5
212 232 1
213 233 4
214 234 3
215 235 13
216 236 4
217 237 12
218 238 3
219 239 10
220 240 8
221 241 2
222 241 7
223 242 8
224 243 4
225 243 9
226 244 8
227 245 6
228 246 11
229 247 4
230 248 1
231 249 12
232 250 7
233 251 11
234 252 6
235 253 5
236 254 4
237 255 3
238 256 9
239 257 7
240 258 2
241 259 3
242 260 13
243 261 9
244 261 3
245 262 7
246 262 8
247 263 8
248 264 13
249 265 9
250 265 10
251 266 8
252 267 4
253 268 5
254 269 4
255 270 12
256 271 7
257 272 6
258 272 3
259 273 2
260 273 7
261 274 3
262 275 3
263 276 3
264 277 11
265 278 9
266 279 4
267 280 8
268 281 6
268 282 5
268 283 10
269 284 4
270 285 3
270 286 5
271 287 6
271 288 9
272 289 10
272 290 11
272 291 6
273 292 2
273 293 8
274 294 8
275 295 8
276 296 12
277 296 6
278 297 13
279 297 13
280 298 12
281 299 6
282 300 3
283 301 2
284 302 11
285 302 6
286 303 9
287 304 10
288 304 6
289 305 1
290 306 10
291 307 3
292 307 8
293 308 12
294 309 8
295 310 5
296 311 7
297 312 10
298 313 8
299 314 3
300 315 2
301 316 11
302 317 13
303 318 13
304 319 9
305 320 3
306 321 9
307 322 6
308 323 1
308 324 6
309 325 11
310 326 1
311 327 2
312 328 5
313 329 8
314 330 6
315 331 9
315 332 9
316 333 4
317 334 12
318 335 4
319 336 10
320 337 2
320 338 9
321 339 3
322 340 12
323 341 4
324 342 11
325 343 1
326 344 11
327 345 13
328 346 9
329 347 11
330 348 8
331 349 6
332 350 6
333 351 5
334 352 5
335 353 11
336 354 9
337 355 12
338 356 2
339 357 12
340 358 10
341 359 11
342 360 3
343 361 13
344 362 6
345 363 9
346 364 8
347 365 4
348 366 1
349 367 2
350 368 9
351 369 3
352 370 10
353 371 3
354 372 3
355 373 1
356 374 1
357 375 7
358 376 12
359 377 3
360 378 6
361 379 4
362 380 1
363 381 12
364 382 5
365 383 10
365 384 9
366 385 9
367 386 6
368 387 12
369 388 5
370 389 9
371 390 13
372 391 8
373 392 11
374 393 6
375 394 9
376 395 5
377 396 5
377 397 12
378 398 5
378 399 9
379 400 8
380 401 7
381 402 12
382 403 8
383 403 8
384 404 9
385 405 7
386 406 12
387 407 4
388 408 5
389 409 4
390 410 13
391 411 10
392 412 2
393 413 9
394 414 4
395 415 4
396 416 6
397 416 1
398 417 8
399 418 7
400 419 8
400 420 6
401 421 2
401 422 6
401 423 11
401 424 11
402 425 11
402 426 6
402 427 13
403 428 13
403 429 10
404 430 1
404 431 12
405 432 2
405 433 9
405 434 6
405 435 11
406 436 1
406 437 7
406 438 8
406 439 7
407 440 12
407 441 8
408 442 6
408 443 13
408 444 2
408 445 11
409 446 11
409 447 10
409 448 9
410 449 2
410 450 8
411 451 1
411 452 9
411 453 9
411 454 12
412 455 6
412 456 12
412 457 11
412 458 12
413 459 2
413 460 1
413 461 9
413 462 5
414 463 11
414 464 7
414 465 3
415 466 12
416 467 1
416 468 11
416 469 12
416 470 10
417 471 11
417 472 7
418 473 1
418 474 13
419 475 10
420 475 12
421 476 7
422 477 5
423 477 9
424 478 1
425 478 10
426 479 9
427 479 9
428 479 13
429 480 13
430 480 1
431 480 5
432 481 4
433 481 9
434 481 8
435 482 9
436 482 7
437 483 8
438 484 13
439 485 4
440 485 12
441 486 12
442 486 12
443 487 10
444 488 12
445 488 6
446 488 5
447 488 12
448 489 4
449 490 10
450 490 12
451 491 7
452 492 11
453 493 2
454 494 13
455 495 13
456 495 8
457 495 12
458 495 12
459 495 4
460 496 3
461 496 1
462 497 8
463 498 12
464 499 13
465 500 10
466 500 5
467 500 5
468 500 6
469 500 13
470 501 1
471 501 8
472 501 3
473 501 2
474 501 1
475 502 7
476 502 3
477 502 4
478 503 9
479 504 5
480 504 6
481 504 6
482 505 10
483 506 1
484 507 2
485 508 4
486 509 9
487 510 13
488 510 11
489 510 8
490 510 6
491 511 7
492 511 2
493 512 2
494 513 6
495 513 11
496 514 13
497 515 5
498 515 13
499 515 11
500 516 7
501 517 8
502 518 2
502 519 3
503 520 9
503 521 8
504 522 10
505 523 11
506 524 12
507 525 4
508 526 5
509 527 7
509 528 10
510 529 9
511 530 13
512 531 6
513 532 3
514 533 5
515 534 12
516 535 11
516 536 1
517 537 1
517 538 1
518 539 6
519 540 11
520 541 6
521 542 2
522 543 11
523 544 13
524 544 4
525 544 1
526 545 5
527 545 1
528 546 8
529 546 10
530 547 12
531 548 9
532 549 6
533 550 1
534 550 4
535 551 7
536 552 1
537 553 5
538 553 13
539 554 2
540 555 2
540 556 7
541 557 3
541 558 2
542 559 13
543 560 8
544 561 5
544 562 7
545 563 11
546 564 8
547 565 2
548 566 6
548 567 2
549 568 2
550 569 13
551 570 8
552 571 2
553 572 2
554 573 6
555 574 7
556 575 12
557 576 4
558 577 9
559 578 2
560 579 12
561 580 9
562 581 2
563 582 7
564 583 3
565 584 9
566 585 1
567 586 6
568 586 6
569 587 1
570 588 3
571 589 2
572 590 5
573 591 7
574 592 3
575 593 8
576 594 10
577 595 5
578 596 12
579 597 3
580 598 3
580 599 3
581 600 5
582 601 3
583 602 4
584 603 10
585 604 9
586 605 6
586 606 7
587 607 4
588 608 4
589 609 9
590 610 10
591 611 6
592 612 7
593 613 9
594 613 11
595 614 9
596 615 9
597 616 11
598 616 7
599 617 5
600 618 3
601 618 5
602 619 10
603 619 11
604 620 5
605 620 5
606 620 12
607 621 5
608 622 2
609 622 7
610 623 11
611 624 3
612 625 9
613 626 11
614 627 5
615 628 5
616 629 10
616 630 9
617 631 10
618 632 7
618 633 11
619 634 3
619 635 1
619 636 4
620 637 10
621 638 1
621 639 2
621 640 11
622 641 3
623 642 6
623 643 13
624 644 5
625 645 7
626 646 4
627 647 7
628 648 13
629 649 10
630 650 7
631 651 7
632 652 5
633 653 2
634 654 4
635 655 9
635 656 4
636 657 10
637 658 11
638 659 5
638 660 7
639 661 7
639 662 12
640 663 4
641 664 12
642 665 13
643 666 4
644 667 6
645 668 11
646 669 9
647 670 2
648 671 7
649 672 9
650 673 5
650 674 3
651 675 10
652 676 3
653 677 9
654 678 6
654 679 7
655 680 10
656 681 2
657 682 2
658 683 4
659 684 13
660 685 9
661 686 13
662 687 13
663 688 1
664 689 7
665 690 12
666 691 9
666 692 1
667 693 1
668 693 2
669 694 8
670 694 13
671 695 12
672 696 1
673 697 1
674 697 1
675 697 3
676 697 1
677 698 6
678 699 2
679 700 4
680 701 7
681 702 2
682 703 4
683 703 11
684 704 1
685 704 11
686 705 13
687 705 7
688 705 8
689 706 8
690 707 11
691 707 2
692 708 13
693 709 3
694 710 3
695 711 8
696 711 6
697 712 10
698 712 1
699 713 12
700 714 4
701 715 8
702 716 6
703 717 5
704 718 11
705 719 9
706 720 3
707 720 2
708 721 1
709 722 10
710 723 3
711 724 11
712 725 10
713 726 1
714 727 7
715 728 11
715 729 2
715 730 8
716 731 1
716 732 5
717 733 4
718 734 12
719 735 9
720 736 7
721 737 6
722 738 9
723 739 9
724 740 11
725 741 2
726 742 6
727 743 4
728 744 12
729 745 5
730 746 10
731 747 11
732 748 12
733 749 13
734 750 7
735 751 3
736 752 3
737 753 12
738 754 11
739 755 9
740 756 2
741 757 5
741 758 12
741 759 8
742 760 4
743 761 12
744 762 11
745 763 6
745 764 5
746 765 10
747 766 13
747 767 3
747 768 2
748 769 4
749 770 10
750 771 13
751 772 8
752 773 11
752 774 7
753 775 6
753 776 12
754 777 13
755 778 13
756 778 2
757 778 3
758 779 7
759 780 9
760 781 7
761 782 12
762 783 7
763 784 9
764 784 7
765 785 8
766 785 11
767 786 2
768 787 12
769 788 4
770 789 13
771 790 7
772 791 13
773 792 8
774 793 10
775 794 13
776 795 8
777 796 9
778 797 11
779 798 10
780 799 1
781 800 13
782 801 10
783 802 2
784 803 1
785 804 5
786 805 10
787 806 9
788 807 4
789 808 6
790 809 8
791 810 6
792 811 3
793 812 8
794 813 5
795 814 8
796 815 9
797 816 12
798 817 1
799 818 10
800 819 5
801 820 9
802 821 9
803 822 9
804 823 1
805 824 4
806 825 13
807 826 5
808 827 3
809 828 8
810 829 10
811 830 11
812 831 9
813 832 8
814 833 7
815 834 12
816 835 1
817 836 10
818 836 6
819 837 6
820 838 2
821 839 2
822 840 10
823 841 9
824 842 1
825 843 8
826 844 1
827 845 3
828 846 7
829 847 13
830 848 4
831 849 2
832 850 9
833 851 2
834 852 6
835 853 8
836 854 12
837 855 5
838 856 12
839 856 5
840 857 13
841 857 12
842 857 6
843 858 3
844 859 5
845 860 3
846 861 11
847 862 9
848 863 1
849 863 4
850 863 8
851 864 13
852 865 2
852 866 5
853 867 7
853 868 13
854 869 11
854 870 7
855 871 2
856 872 9
856 873 12
856 874 4
857 875 7
858 876 13
859 877 11
860 878 7
861 879 5
862 880 8
862 881 1
863 882 9
863 883 2
864 884 4
865 885 11
866 886 12
867 887 4
868 888 10
869 888 11
870 889 6
