1 2 3
1 3 2
1 4 8
2 5 6
3 6 9
4 7 13
5 8 22
6 9 20
6 10 20
6 11 7
7 12 17
8 13 23
9 14 18
10 15 20
11 16 18
12 17 19
12 18 23
13 19 4
14 20 5
15 21 12
15 22 7
16 23 23
16 24 20
16 25 4
16 26 19
16 27 18
17 28 10
17 29 17
18 30 13
18 31 10
18 32 11
19 33 12
20 33 5
21 34 6
22 34 22
23 35 23
24 35 2
25 36 6
26 36 14
27 36 7
28 37 7
29 37 15
30 37 20
31 38 3
32 38 21
33 39 20
34 40 12
35 41 7
36 42 23
37 42 15
38 43 13
39 44 20
40 45 19
40 46 11
41 47 21
42 48 18
43 49 5
44 50 13
45 50 6
46 50 11
47 50 22
48 50 7
49 50 21
